spreadsheetId,accountId,month,folder_id,currentPeriodTotalCost
1gW-2UyhppGgdS4Kf9V0a_HHtOyvwAE4irxtDCKnWsB4,9576 ,Mar 2021,1RNCQNNf8L6C28UcoHB0aHNiShNjQXQ2X,0
1gW-2UyhppGgdS4Kf9V0a_HHtOyvwAE4irxtDCKnWsB4,9576 ,Apr 2021,1RNCQNNf8L6C28UcoHB0aHNiShNjQXQ2X,0
1gW-2UyhppGgdS4Kf9V0a_HHtOyvwAE4irxtDCKnWsB4,9576 ,May 2021,1RNCQNNf8L6C28UcoHB0aHNiShNjQXQ2X,0
1gW-2UyhppGgdS4Kf9V0a_HHtOyvwAE4irxtDCKnWsB4,9576 ,Jun 2021,1RNCQNNf8L6C28UcoHB0aHNiShNjQXQ2X,0
1gW-2UyhppGgdS4Kf9V0a_HHtOyvwAE4irxtDCKnWsB4,9576 ,Jul 2021,1RNCQNNf8L6C28UcoHB0aHNiShNjQXQ2X,0
1gW-2UyhppGgdS4Kf9V0a_HHtOyvwAE4irxtDCKnWsB4,9576 ,Aug 2021,1RNCQNNf8L6C28UcoHB0aHNiShNjQXQ2X,0
1gW-2UyhppGgdS4Kf9V0a_HHtOyvwAE4irxtDCKnWsB4,9576 ,Sep 2021,1RNCQNNf8L6C28UcoHB0aHNiShNjQXQ2X,0
1gW-2UyhppGgdS4Kf9V0a_HHtOyvwAE4irxtDCKnWsB4,9576 ,Oct 2021,1RNCQNNf8L6C28UcoHB0aHNiShNjQXQ2X,0
1gW-2UyhppGgdS4Kf9V0a_HHtOyvwAE4irxtDCKnWsB4,9576 ,Nov 2021,1RNCQNNf8L6C28UcoHB0aHNiShNjQXQ2X,0
1gW-2UyhppGgdS4Kf9V0a_HHtOyvwAE4irxtDCKnWsB4,9576 ,Dec 2021,1RNCQNNf8L6C28UcoHB0aHNiShNjQXQ2X,0
13v8aflFVgmlH3g9v2wRkzGdzJExW4_i_BTZHup1FI20,4649 ,Jan 2021,1RNCQNNf8L6C28UcoHB0aHNiShNjQXQ2X,608.06
13v8aflFVgmlH3g9v2wRkzGdzJExW4_i_BTZHup1FI20,4649 ,Feb 2021,1RNCQNNf8L6C28UcoHB0aHNiShNjQXQ2X,608.06
13v8aflFVgmlH3g9v2wRkzGdzJExW4_i_BTZHup1FI20,4649 ,Mar 2021,1RNCQNNf8L6C28UcoHB0aHNiShNjQXQ2X,608.06
